run,split,level,n,n_pos,n_neg,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,average_precision,signal_mode,ica_keep_labels,brain_ic_min_gof,brain_ic_use_dipoles,model,seed,overrides,path
cap10_seed0,train,window,1516,770,746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=0; output_dir=logs/train/bipolar_filt/runs/cap10_seed0",logs/train/bipolar_filt/runs/cap10_seed0
cap10_seed0,train,subject,154,77,77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=0; output_dir=logs/train/bipolar_filt/runs/cap10_seed0",logs/train/bipolar_filt/runs/cap10_seed0
cap10_seed0,test,window,408,210,198,0.553921568627451,0.5520923520923521,0.6142857142857143,0.4898989898989899,0.5608695652173913,0.5863636363636363,0.1049958868769074,0.6000721500721501,0.6067396085500859,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=0; output_dir=logs/train/bipolar_filt/runs/cap10_seed0",logs/train/bipolar_filt/runs/cap10_seed0
cap10_seed0,test,subject,41,21,20,0.5853658536585366,0.5821428571428572,0.7142857142857143,0.45,0.5769230769230769,0.6382978723404256,0.1704873428320532,0.6404761904761904,0.6747105086467855,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=0; output_dir=logs/train/bipolar_filt/runs/cap10_seed0",logs/train/bipolar_filt/runs/cap10_seed0
cap10_seed1,train,window,1524,770,754,0.7414698162729659,0.7416342278411243,0.7259740259740259,0.7572944297082228,0.7533692722371967,0.7394179894179894,0.4834083577759878,0.8237589996210686,0.832317680530036,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=1; output_dir=logs/train/bipolar_filt/runs/cap10_seed1",logs/train/bipolar_filt/runs/cap10_seed1
cap10_seed1,train,subject,154,77,77,0.7987012987012987,0.7987012987012987,0.7792207792207793,0.8181818181818182,0.8108108108108109,0.7947019867549668,0.5978565316465418,0.8856468207117557,0.8919716839594145,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=1; output_dir=logs/train/bipolar_filt/runs/cap10_seed1",logs/train/bipolar_filt/runs/cap10_seed1
cap10_seed1,test,window,400,210,190,0.64,0.6413533834586467,0.6142857142857143,0.6684210526315789,0.671875,0.6417910447761194,0.2825793162682806,0.6731578947368421,0.686217599676777,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=1; output_dir=logs/train/bipolar_filt/runs/cap10_seed1",logs/train/bipolar_filt/runs/cap10_seed1
cap10_seed1,test,subject,41,21,20,0.6829268292682927,0.6833333333333333,0.6666666666666666,0.7,0.7,0.6829268292682927,0.3666666666666666,0.7119047619047619,0.7401114304143936,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=1; output_dir=logs/train/bipolar_filt/runs/cap10_seed1",logs/train/bipolar_filt/runs/cap10_seed1
cap10_seed2,train,window,1522,770,752,0.9421813403416556,0.9422820530533296,0.9337662337662338,0.9507978723404256,0.951058201058201,0.9423328964613368,0.8845213353160192,0.9867832964907431,0.9875534619996372,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=2; output_dir=logs/train/bipolar_filt/runs/cap10_seed2",logs/train/bipolar_filt/runs/cap10_seed2
cap10_seed2,train,subject,154,77,77,0.9935064935064936,0.9935064935064934,1.0,0.987012987012987,0.9871794871794872,0.9935483870967742,0.987096233585649,1.0,1.0,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=2; output_dir=logs/train/bipolar_filt/runs/cap10_seed2",logs/train/bipolar_filt/runs/cap10_seed2
