run,split,level,n,n_pos,n_neg,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,average_precision,signal_mode,ica_keep_labels,brain_ic_min_gof,brain_ic_use_dipoles,model,seed,overrides,path
bipolar_filt_cap10_seed0,train,window,1569,780,789,0.8878266411727215,0.8878668226576972,0.8948717948717949,0.8808618504435995,0.8813131313131313,0.8880407124681934,0.7757563352153748,0.9625556530499496,0.961310077499116,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=10; data.seed=0; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed0",logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed0
bipolar_filt_cap10_seed0,train,subject,158,78,80,0.9493670886075948,0.9496794871794872,0.9743589743589745,0.925,0.926829268292683,0.95,0.8999360414535506,0.9932692307692308,0.9929195676198492,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=10; data.seed=0; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed0",logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed0
bipolar_filt_cap10_seed0,test,window,408,210,198,0.5465686274509803,0.5450937950937951,0.5952380952380952,0.494949494949495,0.5555555555555556,0.5747126436781609,0.0906300503586623,0.5955507455507456,0.6206301111130046,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=10; data.seed=0; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed0",logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed0
bipolar_filt_cap10_seed0,test,subject,41,21,20,0.5609756097560976,0.5583333333333333,0.6666666666666666,0.45,0.56,0.6086956521739131,0.1195477589361953,0.6357142857142857,0.6615905386779009,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=10; data.seed=0; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed0",logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed0
bipolar_filt_cap10_seed1,train,window,1570,780,790,0.905095541401274,0.9050632911392404,0.9,0.910126582278481,0.908150064683053,0.9040566645202832,0.810204819075612,0.9672476468679,0.9708119171938846,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=10; data.seed=1; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed1",logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed1
bipolar_filt_cap10_seed1,train,subject,158,78,80,0.981012658227848,0.9809294871794872,0.9743589743589745,0.9875,0.987012987012987,0.9806451612903224,0.9620902738631856,0.9961538461538462,0.9961208715830916,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=10; data.seed=1; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed1",logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed1
bipolar_filt_cap10_seed1,test,window,407,210,197,0.5872235872235873,0.5841310128112158,0.680952380952381,0.4873096446700508,0.5860655737704918,0.6299559471365639,0.1716090384648073,0.6018854242204495,0.5958582355430609,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=10; data.seed=1; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed1",logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed1
bipolar_filt_cap10_seed1,test,subject,41,21,20,0.5853658536585366,0.5833333333333333,0.6666666666666666,0.5,0.5833333333333334,0.6222222222222222,0.1690998853986308,0.6642857142857144,0.6895355252840638,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=10; data.seed=1; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed1",logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed1
bipolar_filt_cap10_seed2,train,window,1569,780,789,0.8884639898024219,0.8884493516622793,0.8858974358974359,0.8910012674271229,0.8893178893178894,0.8876043673731535,0.7769214273020217,0.96137922069481,0.9650456282597698,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=10; data.seed=2; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed2",logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed2
bipolar_filt_cap10_seed2,train,subject,158,78,80,0.9620253164556962,0.9621794871794872,0.9743589743589745,0.95,0.95,0.9620253164556962,0.9243589743589744,0.9967948717948718,0.9968956621638612,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=10; data.seed=2; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed2",logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed2
bipolar_filt_cap10_seed2,test,window,408,210,198,0.5857843137254902,0.586940836940837,0.5476190476190477,0.6262626262626263,0.6084656084656085,0.5764411027568922,0.1742782118513451,0.6692400192400192,0.6644194997287851,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=10; data.seed=2; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed2",logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed2
bipolar_filt_cap10_seed2,test,subject,41,21,20,0.6097560975609756,0.6107142857142858,0.5714285714285714,0.65,0.631578947368421,0.6,0.2219576727120168,0.7142857142857143,0.7172879323858954,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=10; data.seed=2; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed2",logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed2
bipolar_filt_cap10_seed3,train,window,1569,780,789,0.8782664117272148,0.8782368138832017,0.8730769230769231,0.8833967046894804,0.8809831824062095,0.8770122343850612,0.7565424723053913,0.9523024926066752,0.953483799246127,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,3,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=10; data.seed=3; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed3",logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed3
bipolar_filt_cap10_seed3,train,subject,158,78,80,0.9430379746835444,0.9432692307692307,0.9615384615384616,0.925,0.925925925925926,0.9433962264150944,0.8867516486189841,0.9915064102564102,0.9916151721096854,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,3,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=10; data.seed=3; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed3",logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed3
bipolar_filt_cap10_seed3,test,window,408,210,198,0.6715686274509803,0.6688311688311688,0.7619047619047619,0.5757575757575758,0.6557377049180327,0.7048458149779736,0.3441977508392631,0.7405723905723907,0.7343036179764966,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,3,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=10; data.seed=3; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed3",logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed3
bipolar_filt_cap10_seed3,test,subject,41,21,20,0.7317073170731707,0.7285714285714285,0.8571428571428571,0.6,0.6923076923076923,0.7659574468085106,0.4743995626631047,0.8142857142857143,0.8444663255754801,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,3,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=10; data.seed=3; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed3",logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed3
bipolar_filt_cap10_seed4,train,window,1569,780,789,0.8878266411727215,0.8878521984985863,0.8923076923076924,0.8833967046894804,0.883248730964467,0.8877551020408163,0.7756993552576491,0.9630203763283612,0.9648595372952012,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,4,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=10; data.seed=4; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed4",logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed4
bipolar_filt_cap10_seed4,train,subject,158,78,80,0.9683544303797468,0.9685897435897436,0.9871794871794872,0.95,0.9506172839506172,0.9685534591194968,0.93740485197466,0.9955128205128204,0.995443824460558,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,4,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=10; data.seed=4; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed4",logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed4
bipolar_filt_cap10_seed4,test,window,408,210,198,0.5955882352941176,0.5947330447330448,0.6238095238095238,0.5656565656565656,0.6036866359447005,0.6135831381733021,0.1897698365032628,0.6231601731601731,0.6266190669634135,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,4,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=10; data.seed=4; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed4",logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed4
bipolar_filt_cap10_seed4,test,subject,41,21,20,0.6097560975609756,0.6083333333333334,0.6666666666666666,0.55,0.6086956521739131,0.6363636363636364,0.2182310672469784,0.6666666666666667,0.6951117026848637,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,4,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=10; data.seed=4; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed4",logs/train/bipolar_filtered/runs/bipolar_filt_cap10_seed4
bipolar_filt_cap20_seed0,train,window,2503,1374,1129,0.9045145825009988,0.9046569660775918,0.9032023289665212,0.9061116031886626,0.9213066072754268,0.912164645350974,0.8077828699244293,0.9659718703545408,0.970555928427437,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=20; data.seed=0; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed0",logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed0
bipolar_filt_cap20_seed0,train,subject,158,78,80,0.9493670886075948,0.9496794871794872,0.9743589743589745,0.925,0.926829268292683,0.95,0.8999360414535506,0.9935897435897436,0.9933888183345714,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=20; data.seed=0; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed0",logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed0
bipolar_filt_cap20_seed0,test,window,682,392,290,0.5850439882697948,0.5793631245601689,0.6173469387755102,0.5413793103448276,0.6453333333333333,0.6310299869621904,0.1577269714311733,0.6347378606615061,0.7096852313548474,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=20; data.seed=0; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed0",logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed0
bipolar_filt_cap20_seed0,test,subject,41,21,20,0.5853658536585366,0.5821428571428572,0.7142857142857143,0.45,0.5769230769230769,0.6382978723404256,0.1704873428320532,0.6761904761904762,0.6917698366139469,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=20; data.seed=0; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed0",logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed0
bipolar_filt_cap20_seed1,train,window,2504,1394,1110,0.9061501597444088,0.9070837695658356,0.8988522238163558,0.9153153153153152,0.9302152932442465,0.9142648668369208,0.8112527500174532,0.9684781625240736,0.9773316728648468,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=20; data.seed=1; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed1",logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed1
bipolar_filt_cap20_seed1,train,subject,158,78,80,0.981012658227848,0.9809294871794872,0.9743589743589745,0.9875,0.987012987012987,0.9806451612903224,0.9620902738631856,0.9943910256410255,0.9948924364137024,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=20; data.seed=1; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed1",logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed1
bipolar_filt_cap20_seed1,test,window,681,372,309,0.5770925110132159,0.5685092389602255,0.6612903225806451,0.4757281553398058,0.6029411764705882,0.6307692307692307,0.1391933359533401,0.5687702265372169,0.5989458587644756,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=20; data.seed=1; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed1",logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed1
bipolar_filt_cap20_seed1,test,subject,41,21,20,0.5853658536585366,0.5821428571428572,0.7142857142857143,0.45,0.5769230769230769,0.6382978723404256,0.1704873428320532,0.6452380952380952,0.6821799936785933,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=20; data.seed=1; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed1",logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed1
bipolar_filt_cap20_seed2,train,window,2502,1392,1110,0.8924860111910472,0.8932471264367816,0.8864942528735632,0.9,0.917472118959108,0.9017172086225794,0.7836981811762928,0.9579223620171896,0.9677119201774768,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=20; data.seed=2; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed2",logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed2
