run,split,level,n,n_pos,n_neg,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,average_precision,signal_mode,ica_keep_labels,brain_ic_min_gof,brain_ic_use_dipoles,model,seed,overrides,path
cap10_seed0,train,window,1156,675,481,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=10; data.seed=0; output_dir=logs/train/icaclean_bipolar/runs/cap10_seed0",logs/train/icaclean_bipolar/runs/cap10_seed0
cap10_seed0,train,subject,158,78,80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=10; data.seed=0; output_dir=logs/train/icaclean_bipolar/runs/cap10_seed0",logs/train/icaclean_bipolar/runs/cap10_seed0
cap10_seed0,test,window,261,156,105,0.5862068965517241,0.5666666666666667,0.6666666666666666,0.4666666666666667,0.65,0.6582278481012658,0.1342378559877876,0.6054945054945055,0.6906298901908655,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=10; data.seed=0; output_dir=logs/train/icaclean_bipolar/runs/cap10_seed0",logs/train/icaclean_bipolar/runs/cap10_seed0
cap10_seed0,test,subject,41,21,20,0.7073170731707317,0.7035714285714285,0.8571428571428571,0.55,0.6666666666666666,0.75,0.4291662538799943,0.6714285714285714,0.6676870892680078,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=10; data.seed=0; output_dir=logs/train/icaclean_bipolar/runs/cap10_seed0",logs/train/icaclean_bipolar/runs/cap10_seed0
cap10_seed1,train,window,1130,657,473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=10; data.seed=1; output_dir=logs/train/icaclean_bipolar/runs/cap10_seed1",logs/train/icaclean_bipolar/runs/cap10_seed1
cap10_seed1,train,subject,158,78,80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=10; data.seed=1; output_dir=logs/train/icaclean_bipolar/runs/cap10_seed1",logs/train/icaclean_bipolar/runs/cap10_seed1
cap10_seed1,test,window,287,174,113,0.6829268292682927,0.654740107822195,0.7873563218390804,0.5221238938053098,0.7172774869109948,0.7506849315068493,0.3204752068618396,0.6867561794324077,0.7693372492336853,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=10; data.seed=1; output_dir=logs/train/icaclean_bipolar/runs/cap10_seed1",logs/train/icaclean_bipolar/runs/cap10_seed1
cap10_seed1,test,subject,41,21,20,0.6341463414634146,0.6321428571428571,0.7142857142857143,0.55,0.625,0.6666666666666666,0.2681441039892574,0.7333333333333332,0.7946711516175038,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=10; data.seed=1; output_dir=logs/train/icaclean_bipolar/runs/cap10_seed1",logs/train/icaclean_bipolar/runs/cap10_seed1
cap10_seed2,train,window,1116,657,459,0.9292114695340502,0.9293729668427492,0.928462709284627,0.9302832244008714,0.9501557632398754,0.939183987682833,0.8548640153815981,0.9791121589850214,0.9863109179867888,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=10; data.seed=2; output_dir=logs/train/icaclean_bipolar/runs/cap10_seed2",logs/train/icaclean_bipolar/runs/cap10_seed2
cap10_seed2,train,subject,158,78,80,0.9873417721518988,0.9875,1.0,0.975,0.975,0.9873417721518988,0.975,0.9985576923076924,0.998499912302514,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=10; data.seed=2; output_dir=logs/train/icaclean_bipolar/runs/cap10_seed2",logs/train/icaclean_bipolar/runs/cap10_seed2
